word,PMI_Pos,PMI_Neg,PMI_Diff,freq_total,freq_pos,freq_neg
sukuma,0.0,0.0,0.0,1,0,0
ngawe,0.0,0.0,0.0,1,0,0
sizogcina,0.0,0.0,0.0,1,0,0
nkomazi,0.0,0.0,0.0,1,0,0
olubhalwe,0.0,0.0,0.0,1,0,0
akhumbule,0.0,0.0,0.0,1,0,0
abuye,0.0,0.0,0.0,1,0,0
wayo,0.0,0.0,0.0,1,0,0
nomzali,0.0,0.0,0.0,1,0,0
kwengane,0.0,0.0,0.0,1,0,0
zinika,0.0,0.0,0.0,1,0,0
ngokwakho,0.0,0.0,0.0,1,0,0
emqubeni,0.0,0.0,0.0,1,0,0
induku,0.0,0.0,0.0,1,0,0
ungifihlele,0.0,0.0,0.0,1,0,0
engingathi,0.0,0.0,0.0,1,0,0
ngokabani,0.0,0.0,0.0,2,0,0
ngisasho,0.0,0.0,0.0,1,0,0
ngingabe,0.0,0.0,0.0,1,0,0
ihamba,0.0,0.0,0.0,1,0,0
yasondela,0.0,0.0,0.0,1,0,0
sengane,0.0,0.0,0.0,1,0,0
isijeziso,0.0,0.0,0.0,1,0,0
ngempi,0.0,0.0,0.0,1,0,0
ngothando,0.0,0.0,0.0,1,0,0
mabajezise,0.0,0.0,0.0,1,0,0
ubisi,0.0,0.0,0.0,1,0,0
sempendulo,0.0,0.0,0.0,2,0,0
nendlela,0.0,0.0,0.0,2,0,0
kulekelelwe,0.0,0.0,0.0,1,0,0
kwenziwe,0.0,0.0,0.0,1,0,0
okufanele,0.0,0.0,0.0,2,0,0
yobuntu,0.0,0.0,0.0,1,0,0
iludedele,0.0,0.0,0.0,1,0,0
ayisenge,0.0,0.0,0.0,1,0,0
nika,0.0,0.0,0.0,1,0,0
kamuva,0.0,0.0,0.0,1,0,0
ezithize,0.0,0.0,0.0,1,0,0
ukubonwa,0.0,0.0,0.0,1,0,0
ezinhlobonhlobo,0.0,0.0,0.0,1,0,0
kwezimpahla,0.0,0.0,0.0,1,0,0
azikhuliswe,0.0,0.0,0.0,1,0,0
